origin,tag_no_y,rock_number,date,initial_tank,nutrient_treatment_tank,main_experiment_tank,turbulence,nutrient_treatment,tag_no_x,tag_colour,tag_color,origin_kelp,biofouling_removed_14_5_25,seaweed_id,rock_no,age,epibiont_sampling,blade_length_pre_experiment,blade_length_in_experiment,notes,rank_of_blade_on_rock,,no_young_blades_per_rock,swab_prior_enrichment,swab_after_ernichment_16_5,blade_side,blade_zone,species,bryozoan_colony_length_max,bryozoan_colony_area,hydrozoan_counts,spirobranchus_counts
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,x,tip,Membranipora,0.5,0.196349541,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,x,tip,Membranipora,0.2,0.031415927,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,x,tip,Membranipora,0.2,0.031415927,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,x,tip,Membranipora,0.2,0.031415927,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,16,101,y,base,Spirobranchus,,,,3
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,16,101,y,base,Obelia,NA,NA,1,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,middle,Obelia,NA,NA,2,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,51,136,x,middle,Spirobranchus,NA,NA,,1
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,middle,Membranipora,0.2,0.031415927,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,middle,Membranipora,0.3,0.070685835,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,middle,Membranipora,0.3,0.070685835,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,y,tip,,,,52,153,y,tip,Obelia,NA,NA,6,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,tip,Pilosa,1.2,0.753982237,,
Adult_local,20,,12_5_2025,,7,4,High,C,20,blue,Blue,farland,bryo=4;hydro=14;sil=1,AB20,NA,old,04/06/2025,270,,id changed post-sampling,NA,,,52,153,y,tip,Pilosa,1.1,0.633554518,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,53,137,y,middle,Obelia,NA,NA,2,10
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,3,149,x,base,Membranipora,2,3.141592654,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,x,base,Membranipora,2,3.141592654,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,3,149,x,middle,Obelia,NA,NA,4,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,57,156,x,middle,Obelia,NA,NA,2,4
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,x,middle,Membranipora,1.5,1.767145868,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,x,middle,Pilosa,1.1,0.633554518,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,x,tip,Membranipora,0.4,0.125663706,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,x,tip,Membranipora,0.5,0.196349541,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,59,135,y,middle,Spirobranchus,,,,2
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,59,135,y,middle,Obelia,NA,NA,2,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,base,Membranipora,0.3,0.070685835,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,74,123,x,middle,Spirobranchus,,,,1
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,,,,,74,123,x,middle,Obelia,NA,NA,2,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,middle,,,,3,149,y,middle,Obelia,NA,NA,10,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,1.2,1.130973355,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,1.4,1.5393804,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.4,0.125663706,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.3,0.070685835,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.2,0.031415927,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.1,0.007853982,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.2,0.031415927,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.1,0.007853982,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Membranipora,0.4,0.125663706,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,middle,Pilosa,1.3,0.884881931,,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,tip,,,,3,149,y,tip,Obelia,NA,NA,1,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,tip,,,,80,106,x,middle,Spirobranchus,,,,3
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,y,tip,,,,80,106,x,middle,Obelia,NA,NA,2,
Adult_local,14,,27_4_2025,3,7,6,High,C,14,white,White,FSC slip,glasg,AW14,NA,old,12/06/2025,130,,id changed post-sampling,NA,,,3,149,y,tip,Pilosa,0.5,0.130899694,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,base,,,NA,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,49,112,x,middle,Obelia,NA,NA,4,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,middle,Pilosa,0.5,0.130899694,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.5,0.196349541,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.3,0.070685835,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.2,0.031415927,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,14,148,x,middle,Spirobranchus,,,,1
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,14,148,x,middle,Obelia,NA,NA,2,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,49,112,x,tip,Obelia,NA,NA,3,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,x,tip,Pilosa,0.5,0.130899694,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,base,Pilosa,0.4,0.083775804,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,middle,Membranipora,0.5,0.196349541,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,middle,Membranipora,0.3,0.070685835,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,middle,Membranipora,0.2,0.031415927,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,middle,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,85,142,x,middle,Spirobranchus,,,,1
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,85,142,x,middle,Obelia,NA,NA,2,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,,,,49,112,y,tip,Obelia,NA,NA,5,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,04/06/2025,190,,,NA,,,49,112,y,tip,Pilosa,0.5,0.130899694,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,base,,,NA,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,,,,49,112,x,middle,Obelia,NA,NA,1,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Pilosa,0.8,0.335103216,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,1,0.785398163,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.2,0.031415927,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,,,,49,112,x,tip,Obelia,NA,NA,2,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,tip,Pilosa,1.2,0.753982237,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,x,tip,Membranipora,0.3,0.070685835,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,base,Spirobranchus,,,,2
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,base,Obelia,NA,NA,6,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,middle,Membranipora,0.3,0.070685835,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,middle,Membranipora,0.6,0.282743339,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,middle,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,middle,Pilosa,1.2,0.753982237,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,,,,57,156,y,middle,Spirobranchus,,,,1
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,,,,57,156,y,middle,Obelia,NA,NA,6,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,,,,49,112,y,tip,Obelia,NA,NA,10,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,tip,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,tip,Pilosa,1.2,0.753982237,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,tip,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,tip,Membranipora,0.3,0.070685835,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,12/06/2025,190,,,NA,,,49,112,y,tip,Membranipora,0.2,0.031415927,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,77,107,x,tip,Obelia,,,6,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,77,107,x,tip,Spirobranchus,NA,NA,,6
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.5,0.196349541,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.5,0.196349541,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Membranipora,0.5,0.196349541,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Pilosa,2,2.094395102,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Pilosa,1,0.523598776,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Pilosa,0.5,0.130899694,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,52,153,x,base,Spirobranchus,,NA,,15
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,x,middle,Obelia,NA,NA,3,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,1.5,1.767145868,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,0.2,0.031415927,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Membranipora,0.1,0.007853982,,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,52,153,y,base,Spirobranchus,NA,NA,,1
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,base,Obelia,NA,NA,9,
Adult_local,17,,12_5_2025,,7,6,High,N,17,blue,Blue,farland,hydro=112;bryo=8;maerl2,AB17,NA,old,02/07/2025,190,,,NA,,,49,112,y,tip,Membranipora,2,3.141592654,,
